district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
下福1,1,735,0,POINT (121.3126 25.1124),735.0,0.0
中和路,2,170,0,POINT (121.7204 25.1462),170.0,0.0
中信街,1,1084,0,POINT (121.4505 25.0358),1084.0,0.0
西寧南,1,226,0,POINT (121.4978 25.0231),226.0,0.0
調和街,1,72,0,POINT (121.7965 25.1391),72.0,0.0
福連街,1,300,0,POINT (121.9888 25.0162),300.0,0.0
老梅里,1,54,0,POINT (121.545195 25.289433),54.0,0.0
福隆里,1,403,0,POINT (121.9457 25.0184),403.0,0.0
金光路,1,41,0,POINT (121.8515 25.107),41.0,0.0
野柳里,1,216,0,POINT (121.6861 25.2029),216.0,0.0
中和街,2,2880,0,POINT (121.389871 24.973944),2880.0,0.0
竹林路,2,1112,0,POINT (121.3958 25.0796),1112.0,0.0
竿蓁林,1,25,0,POINT (121.7508 25.0052),25.0,0.0
重陽路,1,375,0,POINT (121.6092 25.0587),375.0,0.0
粉寮路,1,1243,0,POINT (121.395779 25.07957),1243.0,0.0
糞箕湖,1,100,0,POINT (121.482713 25.171075),100.0,0.0
義一路,1,26,0,POINT (121.7467 25.1347),26.0,0.0
重慶路,1,703,0,POINT (121.4627 25.0033),703.0,0.0
三福街,1,807,0,POINT (121.4059 25.016651),807.0,0.0
三港7,1,63,0,POINT (121.878 25.053),63.0,0.0
通仁街,2,141,0,POINT (121.7341 25.1438),141.0,0.0
育英街,1,304,0,POINT (121.418101 24.99003),304.0,0.0
自來街,1,29,0,POINT (121.739 25.1276),29.0,0.0
辭修路,1,650,0,POINT (121.4285 25.0573),650.0,0.0
自立街,1,285,0,POINT (121.4433 25.0309),285.0,0.0
臺北市,2,150,0,POINT (121.5701 24.9896),150.0,0.0
三爪子,1,162,0,POINT (121.8135 25.1056),162.0,0.0
臺北市中正區,3,7999,0,POINT (121.513 25.0386),7999.0,0.0
三界壇,2,232,0,POINT (121.620711 25.230093),232.0,0.0
劉銘傳,1,26,0,POINT (121.7518 25.1272),26.0,0.0
橫科路,1,74,0,POINT (121.620181 25.05045),74.0,0.0
洲子街,1,219,0,POINT (121.5865 25.0784),219.0,0.0
尖鹿里,1,25,0,POINT (121.566842 25.292022),25.0,0.0
傑魚坑,1,231,0,POINT (121.788 25.1065),231.0,0.0
嵩陽路,1,661,0,POINT (121.9071 25.0164),661.0,0.0
崇法街,1,107,0,POINT (121.7683 25.1345),107.0,0.0
崇智街,1,90,0,POINT (121.7134 25.0995),90.0,0.0
崁腳里,2,281,0,POINT (121.6486 25.1599),281.0,0.0
僑中一,1,1611,0,POINT (121.4485 25.0112),1611.0,0.0
僑信路,1,407,0,POINT (121.49998 24.95362),407.0,0.0
泰林路,2,2671,0,POINT (121.4313 25.0623),2671.0,0.0
光一路,2,137,0,POINT (121.7367 25.1252),137.0,0.0
富國路,1,319,0,POINT (121.4445 25.0538),319.0,0.0
安康路,1,22,0,POINT (121 24),22.0,0.0
安一路,1,50,0,POINT (121.7361 25.1309),50.0,0.0
學苑街,1,633,0,POINT (121.9151 25.022),633.0,0.0
學勤路,1,3155,0,POINT (121.382973 24.94923),3155.0,0.0
工專路,1,1803,0,POINT (121.4206 25.0417),1803.0,0.0
工建路,1,48,0,POINT (121.7015 25.0908),48.0,0.0
